method,lambda,cost,performance
CoRE,0.0,2535.9621649983856,0.7951808201485309
CARROT-Linear,0.0,2535.54018404908,0.7950678075556991
MIRT,0.0,2897.7352518566354,0.7970132386180174
CoRE,1.01010101010101e-06,2502.31821924443,0.7949063609945107
CARROT-Linear,1.01010101010101e-06,2516.919276719406,0.794987084275105
MIRT,1.01010101010101e-06,2866.5529867613823,0.7971746851792058
CoRE,2.02020202020202e-06,2468.102873748789,0.7949386503067485
CARROT-Linear,2.02020202020202e-06,2492.1063044882144,0.7936470778172425
MIRT,2.02020202020202e-06,2839.229996771069,0.7975137229577008
CoRE,3.03030303030303e-06,2436.0952696157574,0.7947933484016791
CARROT-Linear,3.03030303030303e-06,2470.1325637713912,0.7935017759121732
MIRT,3.03030303030303e-06,2803.2262996448176,0.7983209557636421
CoRE,4.04040404040404e-06,2411.755295447207,0.7946319018404906
CARROT-Linear,4.04040404040404e-06,2449.2228769777203,0.7929690022602518
MIRT,4.04040404040404e-06,2763.3756457862446,0.7978689053923151
CoRE,5.050505050505051e-06,2382.9037617048757,0.7945027445915401
CARROT-Linear,5.050505050505051e-06,2429.0438488860186,0.792872134323539
MIRT,5.050505050505051e-06,2713.0643364546336,0.7981272198902164
CoRE,6.06060606060606e-06,2355.9885050048433,0.7939215369712624
CARROT-Linear,6.06060606060606e-06,2406.8716984178236,0.7919034549564095
MIRT,6.06060606060606e-06,2666.632757507265,0.797691314175008
CoRE,7.0707070707070704e-06,2326.3863658379073,0.7939699709396191
CARROT-Linear,7.0707070707070704e-06,2389.9150064578625,0.7916451404585082
MIRT,7.0707070707070704e-06,2624.905973522764,0.796964804649661
CoRE,8.08080808080808e-06,2299.7319099128185,0.7931950274459155
CARROT-Linear,8.08080808080808e-06,2363.9128350016144,0.7919680335808847
MIRT,8.08080808080808e-06,2584.2165805618342,0.7966419115272844
CoRE,9.090909090909091e-06,2264.483726186632,0.7927752663868259
CARROT-Linear,9.090909090909091e-06,2345.113335485954,0.7916774297707458
MIRT,9.090909090909091e-06,2534.5513884404263,0.7960122699386503
CoRE,1.0101010101010101e-05,2229.035849208912,0.7927106877623507
CARROT-Linear,1.0101010101010101e-05,2314.908023894091,0.7904827252179528
MIRT,1.0101010101010101e-05,2483.6830481110755,0.7947368421052632
CoRE,1.1111111111111112e-05,2198.636858249919,0.7926622537939942
CARROT-Linear,1.1111111111111112e-05,2290.389796577333,0.7904342912495965
MIRT,1.1111111111111112e-05,2437.309420406845,0.7947691314175008
CoRE,1.212121212121212e-05,2164.664279948337,0.7930820148530837
CARROT-Linear,1.212121212121212e-05,2254.989126574104,0.7900952534711011
MIRT,1.212121212121212e-05,2381.985849208912,0.7935905715208266
CoRE,1.313131313131313e-05,2130.908927994834,0.7922586373910235
CARROT-Linear,1.313131313131313e-05,2233.8025347110106,0.7894979011947046
MIRT,1.313131313131313e-05,2333.048974814337,0.7931546658056183
CoRE,1.4141414141414141e-05,2104.2188327413623,0.7915321278656765
